Sr No,date,startup,vertical,city,investors,round,amount
1617,2016-06-17,Silvan Innovation Labs,Technology,Bangalore,Infuse Ventures,Private Equity,900000
1618,2016-06-17,GreytHR,Technology,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,5200000
1619,2016-06-17,Duffl,eCommerce,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,0
1620,2016-06-17,BYG,Consumer Internet,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,0
1621,2016-06-20,Dipper,eCommerce,New Delhi,Undisclosed investor,Seed Funding,0
1622,2016-06-20,Qonfuse,Consumer Internet,New Delhi,Hamraj Kumar,Seed Funding,0
1623,2016-06-20,The Indian IRIS,Consumer Internet,Ahmedabad,Timbru Ventures,Seed Funding,0
1624,2016-06-21,Onspoon,Consumer Internet,Mumbai,Swan Angel Network,Seed Funding,150000
1625,2016-06-21,REstate,Consumer Internet,Bangalore,Idein Ventures,Seed Funding,0
1626,2016-06-21,Cleartrip,Consumer Internet,Mumbai,"Concur Technologies, Gund Investment",Private Equity,0
1627,2016-06-21,ProcMart,Consumer Internet,Noida,IndiaMart,Private Equity,0
1628,2016-06-21,Celerix,Technology,Bangalore,Bitkemy Ventures,Seed Funding,400000
1629,2016-06-21,NatureNama,Consumer Internet,Mumbai,Unicorn Venture,Seed Funding,225000
1630,2016-06-21,CyclopsMedtech,Technology,Bangalore,CP Bothra,Seed Funding,0
1631,2016-06-21,Syona Cosmetics,FMCG,Chennai,The Chennai Angels,Seed Funding,150000
1632,2016-06-21,PrettySecrets,eCommerce,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,6000000
1633,2016-06-22,SpiderG,Consumer Internet,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,150000
1634,2016-06-23,FarEye,Technology,New Delhi,Saif Partners,Private Equity,3500000
1635,2016-06-23,The Uolo,Consumer Internet,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,210000
1636,2016-06-23,Staqu,Technology,Gurgaon,Indian Angel Network,Seed Funding,0
1637,2016-06-23,Padhopadhao,Consumer Internet,New Delhi,Rise India,Private Equity,0
1638,2016-06-24,Drivify,Consumer Internet,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,50000
1639,2016-06-24,PratiLipi,Consumer Internet,Bangalore,Nexus Venture Partners,Seed Funding,0
1640,2016-06-24,ParaBlu,Technology,Bangalore,Kalaari Capital,Seed Funding,500000
1641,2016-06-24,Schedulers Logistics,Logistics,Mumbai,GVFL,Private Equity,6000000
1642,2016-06-24,LEAP India,Others,Mumbai,Mayfield Ventures,Private Equity,3000000
1643,2016-06-24,KabadiExpress,Others,New Delhi,Undisclosed investor,Seed Funding,148000
1644,2016-06-27,YourDost,Consumer Internet,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,1200000
1645,2016-06-27,Gomalon,Consumer Internet,Bangalore,Undisclosed investor,Seed Funding,100000
1646,2016-06-27,Voler Cars,Consumer Internet,New Delhi,"Kanodia family, Amit Banka",Seed Funding,0
1647,2016-06-27,Travelyaari,Consumer Internet,Bangalore,GVFL Ltd,Private Equity,3000000
1648,2016-06-28,FabHotels,Consumer Internet,Gurgaon,"Accel Partners, RB Investments",Private Equity,8000000
1649,2016-06-28,Locanix,Technology,Ahmedabad,Undisclosed investors,Seed Funding,300000
1650,2016-06-28,LendingKart,Consumer Internet,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,32000000
1651,2016-06-28,Hello Tax,Consumer Internet,New Delhi,Sanjeev Sinha,Seed Funding,295000
1652,2016-06-28,MySuperBrain,Consumer Internet,Hyderabad,Soniks Consulting,Seed Funding,0
1653,2016-06-28,BlogBeats,Consumer Internet,Bangalore,Undisclosed Investor,Seed Funding,0
1654,2016-06-29,LetReach,eCommerce,New Delhi,vCommission,Private Equity,100000
1655,2016-06-29,TrendieApp,Technology,Kolkata,Harsh Vardhan Hada,Seed Funding,50000
1656,2016-06-29,ImpactGuru,Consumer Internet,Mumbai,Piyush Jain,Seed Funding,0
1657,2016-06-29,Velvetcase,eCommerce,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,1500000
1658,2016-06-30,Meru Cabs,Consumer Internet,Mumbai,Brand Capital,Private Equity,25000000
1659,2016-06-30,Campus Diaries,Consumer Internet,Bangalore,Aarin Capital,Seed Funding,220000
1660,2016-06-30,Scripbox,Consumer Internet,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,0
1661,2016-06-30,Biryani Blues,Food & Beverage,Gurgaon,Carpediem Capital & Others,Private Equity,368000
1662,2016-01-05,MotoMojo,Consumer Internet,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,0
1663,2016-01-05,Get My Parking,Technology,New Delhi,The Chennai Angels,Seed Funding,376000
1664,2016-01-05,Prescribez,Consumer Internet,Pune,Ankush Mehta,Seed Funding,145000
1665,2016-02-05,Airwood,Technology,Chennai,StartupXseed Ventures,Seed Funding,0
1666,2016-03-05,Mobikwik,Consumer Internet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,50000000
1667,2016-03-05,iDreamCareer,Consumer Internet,New Delhi,Brand Capital,Private Equity,0
1668,2016-03-05,Zwayam,Consumer Internet,Bangalore,Undisclosed investors,Seed Funding,250000
1669,2016-03-05,BoiBanit,Consumer Internet,Vadodara,Undisclosed investors,Seed Funding,0
1670,2016-03-05,Zuver,Consumer Internet,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000
1671,2016-03-05,Prepathon,Education,Mumbai,Blume Ventures,Private Equity,0
1672,2016-04-05,EasyRoads,Consumer Internet,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000
1673,2016-04-05,Lenskart,eCommerce,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000
1674,2016-04-05,Seclore,Technology,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000
1675,2016-04-05,SolarTown,Technology,Chennai,Grex.in,Seed Funding,200000
1676,2016-04-05,Comarete,Technology,Pune,Grex.in,Seed Funding,200000
1677,2016-04-05,MyDentistChoice,eCommerce,Hyderabad,Undisclosed investors,Seed Funding,150000
1678,2016-04-05,Active.ai,Technology,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000
1679,2016-04-05,Affordplan,Technology,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000
1680,2016-04-05,Indee,Consumer Internet,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000
1681,2016-05-05,Unbxd,Technology,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,0
1682,2016-05-05,WebAlligator,Consumer Internet,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000
1683,2016-06-05,EduAce Services,Education,Lucknow,MoMagic Technologies,Private Equity,1000000
1684,2016-06-05,Meesho,eCommerce,Bangalore,Rajul Garg & Others,Seed Funding,0
1685,2016-07-05,Zebroads,Logistics,Hyderabad,Undisclosed investors,Seed Funding,75000
1686,2016-09-05,Locus,Technology,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000
1687,2016-09-05,Toko Innovations,Consumer Internet,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000
1688,2016-09-05,Rentickle,eCommerce,New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000
1689,2016-10-05,HealthifyMe,Consumer Internet,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000
1690,2016-10-05,Zarget,Consumer Internet,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000
1691,2016-10-05,InnoNano Research,Technology,Chennai,NanoHoldings,Private Equity,18000000
1692,2016-10-05,SchoolWear,eCommerce,Mumbai,Undisclosed investors,Seed Funding,1500000
1693,2016-10-05,Swiggy,Consumer Internet,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000
1694,2016-11-05,Zenify,Consumer Internet,Bangalore,Undisclosed Investors,Private Equity,900000
1695,2016-11-05,Faircent,Consumer Internet,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,0
1696,2016-11-05,Fractal Analytics,Technology,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000
1697,2016-12-05,Unacademy,Consumer Internet,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000
1698,2016-12-05,Capital Float,Consumer Internet,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000
1699,2016-12-05,Life Circle,Healthcare,Hyderabad,GROUPE SOS,Private Equity,150000
1700,2016-12-05,Dream Wallets,Consumer Internet,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,0
1701,2016-12-05,ShabdNagari,Consumer Internet,Kanpur,ah! Ventures,Seed Funding,0
1702,2016-12-05,Galleri5,Consumer Internet,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,0
1703,2016-12-05,Derbii,Logistics,Gurgaon,Anurag Chauhan,Seed Funding,0
1704,2016-05-13,StayZilla,Consumer Internet,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000
1705,2016-05-13,WoW Express,Logistics,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000
1706,2016-05-16,Smartivity,eCommerce,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000
1707,2016-05-16,BedBathMore,Consumer Internet,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,0
1708,2016-05-17,Murgency,Consumer Internet,Mumbai,Rata Tata,Private Equity,0
1709,2016-05-17,Crownit,Consumer Internet,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,0
1710,2016-05-17,Blinge,eCommerce,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,0
1711,2016-05-18,TheSmartQ,Consumer Internet,Bangalore,YourNest Angel Fund,Seed Funding,250000
1712,2016-05-18,PurpleHealth,Consumer Internet,Trivandrum,Katabole Technology Venture,Seed Funding,100000
1713,2016-05-18,Fundamentor,Education,Pune,Subramanya SV,Seed Funding,0
1714,2016-05-18,EduPristine,Education,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,10000000
1715,2016-05-18,BhiveWorkspace,Reality,Bangalore,Blume Ventures,Private Equity,1000000
1716,2016-05-18,Parentlane,Consumer Internet,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,0
1717,2016-05-19,Appie,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,1000000
1718,2016-05-19,Niki.ai,Technology,Bangalore,Ratan Tata,Private Equity,0
1719,2016-05-19,TaxiVaxi,Consumer Internet,New Delhi,Undisclosed HNIs,Seed Funding,500000
1720,2016-05-19,Veqta,Consumer Internet,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,500000
1721,2016-05-20,i2ifunding,Consumer Internet,Noida,Undisclosed Investors,Seed Funding,300000
1722,2016-05-23,EduRev,Consumer Internet,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,0
1723,2016-05-23,Hoppingo,Consumer Internet,New Delhi,vCommission,Seed Funding,89000
1724,2016-05-24,Eatonomist,Consumer Internet,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,0
1725,2016-05-24,Goalwise,Consumer Internet,Bangalore,Undisclosed HNIs,Seed Funding,1000000
1726,2016-05-25,Roast,Consumer Internet,New Delhi,Indian Angel Network,Seed Funding,0
1727,2016-05-25,Address Health,Healthcare,Bangalore,Gray Matters Capital,Private Equity,1500000
1728,2016-05-25,Arcatron Mobility,Technology,Pune,Sudhir Mehta,Seed Funding,100000
1729,2016-05-25,SheThePeople,Consumer Internet,New Delhi,Anand Mahindra,Seed Funding,0
1730,2016-05-26,Cleartax,Consumer Internet,Bangalore,"FF Angel, Sequoia Capital",Private Equity,2000000
1731,2016-05-26,Consure Medical,Healthcare,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,0
1732,2016-05-26,mChamp,Consumer Internet,New Delhi,MoMagic Technologies,Seed Funding,475000
1733,2016-05-27,Pianta,Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,0
1734,2016-05-30,Vahanalytics,Technology,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,200000
1735,2016-05-31,Play Your Sport,Consumer Internet,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,0
1736,2016-05-31,Koovs,eCommerce,New Delhi,HT Media Ltd,Private Equity,4400000
1737,2016-05-31,CCavenue,Consumer Internet,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000
1738,2016-05-31,1mg,eCommerce,Gurgaon,HBM Healthcare Investments,Private Equity,0
1739,2016-05-31,Tpot,Food & Beverage,Gurgaon,Ashish Gupta,Seed Funding,0
1740,2016-05-31,MachaDalo,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,175000
1741,2016-01-04,Dil Mil,Consumer Internet,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000
1742,2016-01-04,PicsDream,Consumer Internet,Delhi,Raman Roy,Seed Funding,0
1743,2016-01-04,Process 9,Consumer Internet,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,0
1744,2016-04-04,Housing,Consumer Internet,Mumbai,Vineet Singh,Private Equity,0
1745,2016-04-04,Roll Mafia,Food & Beverage,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,0
1746,2016-04-04,Hungama,Consumer Internet,Mumbai,Xiaomi Inc,Private Equity,25000000
1747,2016-04-04,Highway Delite,Consumer Internet,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,0
1748,2016-05-04,Cult Fitness,Healthcare,Bangalore,Mukesh Bansal,Seed Funding,0
1749,2016-05-04,Haptik,Technology,Mumbai,Times Internet Ltd,Private Equity,0
1750,2016-05-04,Servify,Consumer Internet,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,0
1751,2016-06-04,Shipsy,Logistics,Gurgaon,DTDC Express Ltd,Private Equity,1000000
1752,2016-06-04,gear6,Consumer Internet,Bangalore,Ninestarter,Seed Funding,500000
1753,2016-06-04,MyGlamm,Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000
1754,2016-06-04,Petoo,Consumer Internet,Bangalore,Axilor Ventures,Private Equity,1000000
1755,2016-07-04,Truly Social,Consumer Internet,London,Nazara Technologies Pvt Ltd,Private Equity,0
1756,2016-08-04,Little Black Book,Consumer Internet,New Delhi,"IDG, Indian Angel Network",Seed Funding,0
1757,2016-08-04,Vahan,Education,Chennai,Villgro,Seed Funding,0
1758,2016-08-04,imedilane,Consumer Internet,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000
1759,2016-11-04,Living Local,Consumer Internet,Mumbai,Rattan Chadha,Seed Funding,200000
1760,2016-11-04,Vegfru,eCommerce,New Delhi,Wingify,Seed Funding,0
1761,2016-11-04,Oyo,Consumer Internet,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000
1762,2016-11-04,PriceRaja,Consumer Internet,Gurgaon,Prashant Puri,Seed Funding,300000
1763,2016-12-04,MagicX,Consumer Internet,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000
1764,2016-12-04,Happydemic,Consumer Internet,Mumbai,Shaan,Seed Funding,0
1765,2016-12-04,LenDenClub,Finance,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,0
1767,2016-04-13,Legalraasta,Consumer Internet,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Seed Funding,1000000
1768,2016-04-13,RainCan,Consumer Internet,Pune,Dr. Aniruddha Malpani,Seed Funding,150000
1769,2016-04-13,Hippily,eCommerce,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Seed Funding,250000
1770,2016-04-13,kredX,eCommerce,Bangalore,"Prime Venture Partners,",Seed Funding,750000
1771,2016-04-14,Wedwise,Consumer Internet,New Delhi,StartUp Equity Partners,Seed Funding,0
1772,2016-04-14,BeaconsTalk,Technology,Mumbai,"Rajeev Agrawal, Prashant Gooty",Seed Funding,100000
1773,2016-04-15,Deal 4Loans,Consumer Internet,Noida,"Ram Shriram, Neeraj Arora, Puru Vashishtha",Seed Funding,0
1774,2016-04-15,RenewBuy,Consumer Internet,New Delhi,Mount Nathan Advisors,Seed Funding,1000000
1775,2016-04-15,Blue Box Media,Consumer Internet,Jaipur,"Mahavir Pratap Sharma, Ajay Data, Yogesh Chaudhary, Sanjay Phophaliya, Siddharth Agarwal, Kamal Kothari",Seed Funding,0
1776,2016-04-15,Vyomo,Consumer Internet,New Delhi,Naturals Salon Chain,Private Equity,15000000
1777,2016-04-15,Organicshop,eCommerce,Jaipur,"Vivek Nathani, Yogesh Chaudhary, Mahavir Pratap Sharma, Kamal Kothari, H C Jain",Seed Funding,0
1778,2016-04-15,MInd Your Fleet,Consumer Internet,Noida,Undisclosed Investors,Seed Funding,0
1779,2016-04-15,NestAway,Consumer Internet,Bangalore,Tiger Global,Private Equity,30000000
1780,2016-04-15,Tapchief,Consumer Internet,Bangalore,Vijay Shekhar Sharma,Seed Funding,150000
1781,2016-04-18,Rapido,Consumer Internet,Bangalore,"Pawan Munjal, AdvantEdge Partners, Astarc Ventures",Private Equity,0
1782,2016-04-18,Yufta,eCommerce,Bangalore,Ajay Data & other HNIs,Seed Funding,0
1783,2016-04-18,Smytten,eCommerce,Gurgaon,Rajan Anandan,Seed Funding,0
1784,2016-04-18,Houssup,Consumer Internet,Jaipur,"Mitin Patel, Gaurav Agarwal",Seed Funding,0
1785,2016-04-18,Jugnoo,Consumer Internet,Chandigarh,Paytm & existing investors,Private Equity,10000000
1786,2016-04-18,Tork Motocycles,Auto,Pune,"Bhavish Aggarwal, Ankit Bhati",Seed Funding,0
1787,2016-04-19,Betaout,eCommerce,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,1500000
1788,2016-04-19,DriversCart,Consumer Internet,Chennai,ah! Ventures,Seed Funding,450000
1789,2016-04-19,LensKart,eCommerce,New Delhi,Ratan Tata,Private Equity,0
1790,2016-04-19,CollegeDekho,Consumer Internet,New Delhi,Man Capital,Private Equity,2000000
1791,2016-04-19,OYOfit,Consumer Internet,Bangalore,RN Agarwal,Seed Funding,0
1792,2016-04-19,Oliveboard,Consumer Internet,Bangalore,India Educational Investment Fund,Private Equity,0
1793,2016-04-19,Simplilearn,Consumer Internet,Bangalore,Brand Capital,Private Equity,0
1794,2016-04-20,1mg,eCommerce,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,15000000
1795,2016-04-20,Fashalot,Consumer Internet,New Delhi,"YourNest Angel Fund, Rajul Garg",Seed Funding,0
1796,2016-04-20,Broomberg,Consumer Internet,New Delhi,Undisclosed Angel investors & HNIs,Seed Funding,0
1797,2016-04-21,m.paani,Consumer Internet,Mumbai,"Blume Ventures, Adil Allana, Aprameya Radhakrishna, Gautam Ivatury, Signal Point Partners",Seed Funding,0
1798,2016-04-21,Yufta,eCommerce,Jaipur,Ajay Data & undisclosed HNIs,Seed Funding,0
1799,2016-04-21,mishTag,Consumer Internet,New Delhi,"M&Y Partners, SVG Media, Anthil Ventures & others",Seed Funding,0
1800,2016-04-21,Advanced Structures India,Auto,Bangalore,GirnarSoft,Private Equity,0
1801,2016-04-22,Licious,eCommerce,Bangalore,Mayfield India II Management Ltd,Private Equity,3000000
1802,2016-04-22,Knolskae,Consumer Internet,Bangalore,"Inventus Capital Partners, HR Fund",Private Equity,0
1803,2016-04-22,Druva,Technology,Pune,"NTT Finance, Telephone Corporation",Private Equity,0
1804,2016-04-22,TOKO Innovation Studios,Consumer Internet,New Delhi,Indian Angel network,Seed Funding,450000
1805,2016-04-25,Commut,Consumer Internet,Hyderabad,50K Ventures,Seed Funding,200000
1806,2016-04-25,intouchapp,Consumer Internet,Pune,Blume Ventures,Seed Funding,0
1807,2016-04-25,Dropkaffe,Food & Beverage,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Seed Funding,550000
1808,2016-04-26,Transerv,Consumer Internet,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity,15000000
1809,2016-04-26,ClearTax,Consumer Internet,Bangalore,"Max Levchin, Scott Banister",Private Equity,1300000
1810,2016-04-26,Roposo,eCommerce,Gurgaon,Bertelsmann India Investments,Private Equity,15000000
